date,type,amount
2016/1/01,d,3000
2016/1/14,w,6000
2016/2/05,w,2000
2016/2/12,d,10000
2016/3/03,d,3400
2016/3/16,w,3000
2016/4/08,d,56000
2016/4/30,w,400
2016/5/11,w,1000
2016/5/18,d,44000
2016/5/30,w,12000
2016/6/01,w,1630
2016/6/15,w,4000
2016/7/04,w,3000
2016/7/05,d,33000
2016/7/07,w,2200
2016/7/11,w,34000
2016/7/12,d,10000
2016/7/19,w,1780
2016/7/24,w,7300
2016/7/28,w,500
2016/8/04,w,3000
2016/8/05,d,56000
2016/8/07,w,2200
2016/8/11,w,34000
2016/8/12,d,16000
2016/8/19,w,1000
2016/8/24,w,13000
2016/8/28,w,400
2016/9/02,w,3000
2016/9/09,d,20000
2016/9/12,w,2200
2016/9/15,w,34000
2016/9/15,d,16000
2016/9/19,w,1040
2016/9/23,w,13000
2016/9/29,w,400
2016/10/04,w,3000
2016/10/10,d,23000
2016/10/12,w,3000
2016/10/13,w,3000
2016/10/16,w,3000
2016/10/22,w,3000
2016/10/23,w,3000
2016/11/02,d,30400
2016/11/07,w,200
2016/11/10,d,343
2016/11/20,d,3074
2016/11/23,w,4512
2016/11/25,d,1039
2016/11/28,w,7000
2016/11/05,d,3000
2016/11/07,w,200
2016/11/10,d,343
2016/11/20,d,3074
2016/11/23,w,4512
2016/11/25,d,1039
2016/11/28,w,7000
2016/12/12,w,2000
2016/12/14,d,33000
2016/12/15,d,10000
2016/12/18,w,5500
2016/12/20,d,400
2016/12/24,w,10000
